id,instance_name,attr_id,GDMC
1,LcRt1,133,1ESP1
2,LcRt2,134,1ESP1
3,LcRt3,135,1ESP1
4,LcRt4,136,1ESP1
5,LcRt5,137,1ESP1
6,LcRt6,138,1ESP1
7,LcRt7,139,1ESP1
8,LcRt8,1310,1ESP1
9,LcRt9,1311,1ESP1
10,LcRt10,1312,1ESP1
11,LcRt11,1313,1ESP1
12,LcRt12,1314,1ESP1
13,LcRt13,1315,1ESP1
14,LcRt14,1316,1ESP1
15,LcRt15,1317,1ESP1
16,LcRt16,1318,1ESP1
17,LcRt17,1319,1ESP1
18,LcRt18,1320,1ESP1
19,LcRt19,1321,1ESP1
20,LcRt20,1322,1ESP1
21,LcRt21,1323,1ESP1
22,LcRt22,1324,1ESP1
23,LcRt23,1325,1ESP1
24,LcRt24,1326,1ESP1
25,LcRt25,1327,1ESP1
26,LcRt26,1328,1ESP1
27,LcRt27,1329,1ESP1
28,LcRt28,1330,1ESP1
29,LcRt29,1331,1ESP1
30,LcRt30,1332,1ESP1
31,LcRt31,1333,1ESP1
32,LcRt32,1334,1ESP1
33,LcRt33,1335,1ESP1
34,LcRt34,1336,1ESP1
35,LcRt35,1337,1ESP1
36,LcRt36,1338,1ESP1
37,LcRt37,1339,1ESP1
38,LcRt38,1340,1ESP1
39,LcRt39,1341,1ESP1
40,LcRt40,1342,1ESP1
41,LcRt41,1343,1ESP1
42,LcRt42,1344,1ESP1
43,LcRt43,1345,1ESP1
44,LcRt44,1346,1ESP1
45,LcRt45,1347,1ESP1
46,LcRt46,1348,1ESP1
47,LcRt47,1349,1ESP1
48,LcRt48,1350,1ESP1
49,LcRt49,1351,1ESP2
50,LcRt50,1352,1ESP2
51,LcRt51,1353,1ESP2
52,LcRt52,1354,1ESP2
53,LcRt53,1355,1ESP2
54,LcRt54,1356,1ESP2
55,LcRt55,1357,1ESP2
56,LcRt56,1358,1ESP2
57,LcRt57,1359,1ESP2
58,LcRt58,1360,1ESP2
59,LcRt59,1361,1ESP2
60,LcRt60,1362,1ESP2
61,LcRt61,1363,1ESP2
62,LcRt62,1364,1ESP2
63,LcRt63,1365,1ESP2
64,LcRt64,1366,1ESP2
65,LcRt65,1367,1ESP2
66,LcRt66,1368,1ESP2
67,LcRt67,1369,1ESP2
68,LcRt68,1370,1ESP2
69,LcRt69,1371,1ESP2
70,LcRt70,1372,1ESP2
71,LcRt71,1373,1ESP2
72,LcRt141,13925779,1ESP2
73,LcRt73,1375,1ESP2
74,LcRt74,1376,1ESP2
75,LcRt75,1377,1ESP2
76,LcRt76,1378,1ESP2
77,LcRt77,1379,1ESP2
78,LcRt78,1380,1ESP2
79,LcRt79,1381,1ESP2
80,LcRt80,1382,1ESP2
81,LcRt81,1383,1ESP2
82,LcRt82,1384,1ESP2
83,LcRt83,1385,1ESP2
84,LcRt84,1386,1ESP2
85,LcRt85,1387,1ESP2
86,LcRt86,1388,1ESP2
87,LcRt87,1389,1ESP2
88,LcRt88,1390,1ESP2
89,LcRt89,1391,1ESP2
90,LcRt90,1392,1ESP2
91,LcRt91,1393,1ESP2
92,LcRt92,1394,1ESP2
93,LcRt93,1395,1ESP2
94,LcRt94,1396,1ESP2
95,LcRt95,1397,1ESP3
96,LcRt142,13925780,1ESP3
97,LcRt97,1399,1ESP3
98,LcRt98,13100,1ESP3
99,LcRt99,13101,1ESP3
100,LcRt100,13102,1ESP3
101,LcRt101,13103,1ESP3
102,LcRt102,13104,1ESP3
103,LcRt103,13105,1ESP3
104,LcRt104,13106,1ESP3
105,LcRt105,13107,1ESP3
106,LcRt106,13108,1ESP3
107,LcRt107,13109,1ESP3
108,LcRt108,13110,1ESP3
109,LcRt109,13111,1ESP3
110,LcRt110,13112,1ESP3
111,LcRt111,13113,1ESP3
112,LcRt112,13114,1ESP3
113,LcRt113,13115,1ESP3
114,LcRt114,13116,1ESP3
115,LcRt115,13117,1ESP3
116,LcRt116,13118,1ESP3
117,LcRt117,13119,1ESP3
118,LcRt118,13120,1ESP3
119,LcRt119,13121,1ESP3
120,LcRt143,13925781,1ESP3
121,LcRt121,13123,1ESP3
122,LcRt122,13124,1ESP3
123,LcRt123,13125,1ESP3
124,LcRt124,13126,1ESP3
125,LcRt125,13127,1ESP3
126,LcRt126,13128,1ESP3
127,LcRt127,13129,1ESP3
128,LcRt128,13130,1ESP3
129,LcRt129,13131,1ESP3
130,LcRt130,13132,1ESP3
131,LcRt131,13133,1ESP3
132,LcRt132,13134,1ESP3
133,LcRt133,13135,1ESP3
134,LcRt134,13136,1ESP3
135,LcRt135,13137,1ESP3
136,LcRt136,13138,1ESP3
137,LcRt137,13139,1ESP3
138,LcRt138,13140,1ESP3
139,LcRt139,13141,1ESP3
140,LcRt140,13142,1ESP3
292,ZS1,13925782,ZS
293,ZS2,13925783,ZS
294,ZS3,13925784,ZS
295,ZS4,13925785,ZS
296,ZS5,13925786,ZS
